ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0,0.0,0.0,0.2,0.8
2,0.9,0.0,0.0,0.0,0.1
3,0.0,0.0,0.1,0.5,0.4
4,0.0,0.0,0.0,0.3,0.7
5,0.2,0.0,0.0,0.8,0.0
6,0.4,0.0,0.0,0.6,0.0
7,0.4,0.0,0.2,0.2,0.2
8,1.0,0.0,0.0,0.0,0.0
9,0.7,0.0,0.0,0.1,0.2
10,0.8,0.0,0.0,0.2,0.0
11,0.8,0.0,0.0,0.1,0.1
12,0.0,0.0,0.1,0.1,0.8
13,0.9,0.0,0.1,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0
15,0.7,0.0,0.0,0.3,0.0
16,0.6,0.0,0.0,0.1,0.3
17,0.2,0.0,0.0,0.8,0.0
18,0.8,0.0,0.0,0.1,0.1
19,0.4,0.1,0.0,0.1,0.4
20,0.0,0.0,0.0,0.0,1.0
21,0.4,0.0,0.0,0.5,0.1
22,0.0,0.0,0.0,0.0,1.0
23,0.266666666667,0.0,0.0,0.533333333333,0.2
24,0.0,0.0,0.0,0.0,1.0
25,1.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.4,0.0,0.6
27,1.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.1,0.0,0.9
29,0.4,0.0,0.0,0.5,0.1
30,0.4,0.0,0.0,0.6,0.0
31,0.1,0.0,0.0,0.2,0.7
32,0.8,0.0,0.0,0.1,0.1
33,0.1,0.1,0.2,0.0,0.6
34,1.0,0.0,0.0,0.0,0.0
35,0.2,0.0,0.0,0.0,0.8
36,0.4,0.0,0.0,0.4,0.2
37,0.0,0.0,0.0,0.0,1.0
38,1.0,0.0,0.0,0.0,0.0
39,0.6,0.0,0.0,0.2,0.2
40,0.4,0.0,0.0,0.3,0.3
41,0.1,0.1,0.0,0.2,0.6
42,0.0,0.0,0.0,0.0,1.0
43,0.2,0.0,0.0,0.1,0.7
44,0.0,0.0,0.0,0.0,1.0
45,0.2,0.0,0.7,0.0,0.1
46,0.8,0.0,0.0,0.1,0.1
47,0.3,0.0,0.0,0.4,0.3
48,0.4,0.0,0.1,0.1,0.4
49,0.3,0.0,0.0,0.3,0.4
50,0.0,0.0,0.0,0.2,0.8
51,0.3,0.0,0.0,0.0,0.7
52,0.0,0.0,0.2,0.6,0.2
53,1.0,0.0,0.0,0.0,0.0
54,0.4,0.0,0.3,0.0,0.3
55,0.0,0.0,0.4,0.0,0.6
56,0.7,0.0,0.0,0.0,0.3
57,0.4,0.0,0.0,0.6,0.0
58,0.0,0.0,0.0,0.0,1.0
59,0.0,0.0,0.4,0.0,0.6
60,1.0,0.0,0.0,0.0,0.0
61,0.428333333333,0.0,0.0,0.0,0.571666666667
62,0.1,0.0,0.0,0.9,0.0
63,0.3,0.0,0.0,0.4,0.3
64,0.0,0.0,0.2,0.0,0.8
65,0.0,0.0,0.0,0.0,1.0
66,0.3,0.0,0.0,0.6,0.1
67,0.9,0.0,0.0,0.0,0.1
68,0.2,0.1,0.2,0.4,0.1
69,0.4,0.0,0.0,0.4,0.2
70,0.0,0.0,0.0,0.0,1.0
71,0.0,0.0,0.0,0.0,1.0
72,1.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,1.0
74,0.1,0.0,0.0,0.5,0.4
75,0.0,0.0,0.0,0.0,1.0
76,0.8,0.0,0.1,0.0,0.1
