?,Breed,Alias,BreedAdultPicture,,MinWeightMale,MinWeightFemale,MaxWeightMale,MaxWeightFemale,Size,MinHeightMale,MinHeightFemale,MaxHeightMale,MaxHeightFemale,MinLifeExpectancy,MaxLifeExpectancy,Group,GoodWithKids,CatFriendly,DogFriendly,Trainability,Shedding,Watchdog,Intelligence,Grooming,Popularity,Adaptability,HypoAllergenic,MinPuppyCost,MaxPuppyCost
X,Australian Cattle Dog,"ACD, Cattle Dog, Blue Heeler, Red Heeler, Queensland Heeler",,,33.06,30.86,35.274,35.274,Medium,18,17,20,19,13,15,Herding,5,3,3,5,3,5/R1,5/R10,1,3.5/R58,3,No,500,600
X,Australian Stumpy Tail Cattle Dog,"Stumpy Tail Cattle Dog, Stumpy, Stumpy tail, 'Heeler'",,,35.27,35.27,50.71,50.71,Medium,18,17,20,19,12,14,Herding,5,3,3,5,3,5/R1,5/R10,1,3.5/R60,3,No,500,600
MD,Alaskan Klee Kai,"Klee Kai, AKK",,,16.09,,22.05,,Medium,39,,43,,13,14,Northern,,,,,,,,,,,,1000,1500
Argentine Dogo is known as Dogo Argentino in dataset,Dogo Argentino,"Argentine Dogo, Argentine Mastiff, Dogo",,,79.37,79.37,99.21,99.21,Large,,,,,10,18,"Working,Guard",,,,,,,,,,,,2800,5000
MD,Andalusian Hound,"Podenco Andaluz, Andalusian Podenco",,,11,,73,,Medium,14,,25,,12,14,Hound,,,,,,,,,,,,300,500
MD,Alano Espanol,,,,66.14,55.12,88.18,77.16,Large,23,22,25,24,11,14,Working,,,,,,,,,,,No,550,800
MD,Ariege Pointer,,,,55.11,55.11,66.14,66.14,Large,24,22,26,26,10,18,Guard,,,,,,,,,,,,,
MD,Alaskan Husky,,,,50,45,90,80,Large,20,,24,,16,19,Mixed,3.5,2,5,3,3,2.5,3,3,3.5/R58,5,,400,700
,Afghan Hound,"Sage Balochi, Ogar Afgan, Eastern Greyhound/Persian",,,,,,,Large,,,,,10,14,Hound,,,,,,,,,,,,800,1200
,American Staffordshire Terrier,AmStaff,,,,,,,Medium,,,,,10,12,Terrier,,,,,,,,,,,,800,900
,American Water Spaniel,"AWS,American Brown Spaniel,American Brown Water Spaniel",,,,,,,Medium,,,,,13,15,"Sporting,Gun",,,,,,,,,,,,800,1000
,Appenzeller Sennenhund,"Appenzeller, Appenzell Cattle Dog, Appenzeller Mountain Dog,Entlebucher Sennenhund,Entlebucher Mountain Dog",,,,,,,Medium,,,,,12,14,Guard,,,,,,,,,,,,700,800
,American Cocker Spaniel,Cocker Spaniel,,,,,,,Medium,,,,,12,15,Sporting,,,,,,,,,,,,600,800
American Pit Bull Terrier is commonly known as Pit Bull,Pit Bull,"APBT, Pit, Pitty, Pitt Bull, Pit Bull",,,,,,,Medium,,,,,12,14,Terrier,,,,,,,,,,,,500,700
