Breed,Found
Rottweiler,1
Yorkshire Terrier/Chihuahua Shorthair,1
Labrador Retriever Mix,1
Yorkshire Terrier Mix,1
Manchester Terrier Mix,1
American Pit Bull Terrier,1
Chow Chow Mix,1
Australian Cattle Dog,1
Beagle Mix,1
Treeing Walker Coonhound Mix,1
Chow Chow Mix,1
Rottweiler Mix,1
Pug,1
Border Collie Mix,1
Pug Mix,1
Greater Swiss Mountain Dog Mix,1
Shiba Inu Mix,1
Dachshund/Chihuahua Shorthair,1
Australian Cattle Dog Mix,1
Vizsla,1
Boxer Mix,1
Australian Kelpie Mix,1
Beagle Mix,1
Yorkshire Terrier Mix,1
Boston Terrier Mix,1
American Bulldog Mix,1
Pharaoh Hound,1
Labrador Retriever Mix,1
Australian Shepherd Mix,1
Australian Cattle Dog/Pointer,1
Dachshund Mix,1
Labrador Retriever Mix,1
Parson Russell Terrier Mix,1
Australian Kelpie Mix,1
Border Collie Mix,1
Dachshund Mix,1
Labrador Retriever,1
Labrador Retriever/Pit Bull,1
Australian Cattle Dog Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Border Collie Mix,1
Rottweiler,1
Miniature Schnauzer/Miniature Poodle,1
Plott Hound Mix,1
Dachshund Mix,1
Labrador Retriever Mix,1
American Pit Bull Terrier/Catahoula,1
Dachshund Mix,1
Shih Tzu Mix,1
Labrador Retriever,1
Labrador Retriever Mix,1
Cairn Terrier Mix,1
Black Mouth Cur Mix,1
Australian Cattle Dog Mix,1
Dachshund Mix,1
Cardigan Welsh Corgi Mix,1
Boxer Mix,1
Parson Russell Terrier Mix,1
Bloodhound Mix,1
Labrador Retriever Mix,1
Rottweiler Mix,1
Jack Russell Terrier Mix,1
Pomeranian Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Australian Cattle Dog Mix,1
Yorkshire Terrier Mix,1
Rottweiler/Pit Bull,1
Labrador Retriever/German Shepherd,1
Boxer Mix,1
American Staffordshire Terrier Mix,1
Carolina Dog Mix,1
Labrador Retriever Mix,1
Dachshund Mix,1
Cairn Terrier Mix,1
Border Collie Mix,1
Siberian Husky,1
Labrador Retriever Mix,1
Siberian Husky Mix,1
Labrador Retriever Mix,1
Australian Cattle Dog Mix,1
Labrador Retriever Mix,1
Great Pyrenees,1
Dachshund Mix,1
Dachshund/Chihuahua Shorthair,1
Norfolk Terrier Mix,1
Shih Tzu Mix,1
Pug,1
Rottweiler Mix,1
Pug,1
Labrador Retriever Mix,1
Miniature Pinscher Mix,1
Jack Russell Terrier Mix,1
Labrador Retriever Mix,1
Great Pyrenees Mix,1
Border Collie Mix,1
Black Mouth Cur Mix,1
Rat Terrier Mix,1
Labrador Retriever Mix,1
Boston Terrier Mix,1
Labrador Retriever Mix,1
Miniature Schnauzer Mix,1
Dachshund Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Miniature Schnauzer Mix,1
Rat Terrier Mix,1
Border Collie/German Shepherd,1
Leonberger Mix,1
Australian Cattle Dog Mix,1
Labrador Retriever/Pit Bull,1
Australian Kelpie Mix,1
Dachshund Mix,1
Australian Cattle Dog Mix,1
Great Pyrenees Mix,1
Miniature Schnauzer/Miniature Poodle,1
Labrador Retriever Mix,1
American Bulldog Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Labrador Retriever/Catahoula,1
Australian Cattle Dog Mix,1
Cairn Terrier Mix,1
Blue Lacy Mix,1
Miniature Pinscher Mix,1
Golden Retriever Mix,1
Border Collie Mix,1
Border Terrier/Dachshund Wirehair,1
Yorkshire Terrier Mix,1
Weimaraner Mix,1
Labrador Retriever Mix,1
Australian Shepherd,1
Dachshund Mix,1
Australian Cattle Dog Mix,1
Jack Russell Terrier Mix,1
Shiba Inu Mix,1
Great Pyrenees Mix,1
Labrador Retriever/Pit Bull,1
Siberian Husky/German Shepherd,1
Havanese Mix,1
Labrador Retriever Mix,1
Border Collie Mix,1
Dachshund Mix,1
Dachshund,1
Beagle Mix,1
Boxer Mix,1
American Staffordshire Terrier Mix,1
Shih Tzu,1
Australian Shepherd Mix,1
Rat Terrier/Chihuahua Shorthair,1
Boxer/Catahoula,1
Chow Chow Mix,1
Boxer Mix,1
Labrador Retriever Mix,1
Beagle Mix,1
Dachshund Mix,1
Rat Terrier Mix,1
Siberian Husky Mix,1
Rat Terrier Mix,1
Jack Russell Terrier Mix,1
Rat Terrier Mix,1
Australian Cattle Dog Mix,1
American Staffordshire Terrier Mix,1
American Pit Bull Terrier Mix,1
Basset Hound Mix,1
Golden Retriever Mix,1
Chow Chow/Pit Bull,1
Boxer Mix,1
Border Collie Mix,1
Labrador Retriever Mix,1
Labrador Retriever,1
Finnish Spitz Mix,1
Labrador Retriever Mix,1
Dachshund Mix,1
Yorkshire Terrier Mix,1
Labrador Retriever Mix,1
Yorkshire Terrier Mix,1
Miniature Pinscher/Chihuahua Shorthair,1
Dachshund Mix,1
Labrador Retriever/German Shepherd,1
Siberian Husky Mix,1
American Bulldog Mix,1
Yorkshire Terrier,1
Dachshund Mix,1
Australian Shepherd Mix,1
Labrador Retriever Mix,1
Yorkshire Terrier Mix,1
Dachshund,1
Siberian Husky Mix,1
Shetland Sheepdog Mix,1
Miniature Pinscher Mix,1
Chow Chow Mix,1
Golden Retriever Mix,1
Dachshund Mix,1
Boxer Mix,1
Australian Cattle Dog Mix,1
Labrador Retriever/German Shepherd,1
Cairn Terrier Mix,1
Boxer Mix,1
Great Pyrenees Mix,1
Miniature Schnauzer/Miniature Poodle,1
Labrador Retriever Mix,1
Lhasa Apso/Miniature Poodle,1
Boxer Mix,1
Australian Cattle Dog Mix,1
Australian Cattle Dog Mix,1
Plott Hound Mix,1
Boxer,1
Yorkshire Terrier,1
Australian Kelpie Mix,1
Boxer Mix,1
Border Collie Mix,1
Dachshund Mix,1
Miniature Schnauzer Mix,1
Rat Terrier Mix,1
Labrador Retriever Mix,1
Affenpinscher Mix,1
Rottweiler/German Shepherd,1
English Coonhound Mix,1
Pomeranian,1
Labrador Retriever Mix,1
American Bulldog Mix,1
Labrador Retriever Mix,1
Cairn Terrier Mix,1
Labrador Retriever Mix,1
Weimaraner Mix,1
Siberian Husky Mix,1
Labrador Retriever Mix,1
Basset Hound,1
Australian Cattle Dog Mix,1
Boxer Mix,1
American Staffordshire Terrier Mix,1
Australian Kelpie Mix,1
Labrador Retriever,1
Rottweiler,1
Labrador Retriever Mix,1
Cardigan Welsh Corgi Mix,1
Norfolk Terrier,1
Cardigan Welsh Corgi Mix,1
Boxer Mix,1
Lhasa Apso,1
American Staffordshire Terrier Mix,1
Boston Terrier Mix,1
Finnish Spitz Mix,1
Pug Mix,1
Border Collie Mix,1
Dachshund Mix,1
Labrador Retriever Mix,1
Manchester Terrier Mix,1
Siberian Husky Mix,1
Jack Russell Terrier,1
Boxer Mix,1
Labrador Retriever Mix,1
American Staffordshire Terrier Mix,1
Labrador Retriever Mix,1
Wirehaired Pointing Griffon Mix,1
Australian Cattle Dog Mix,1
Yorkshire Terrier Mix,1
Australian Cattle Dog Mix,1
Yorkshire Terrier Mix,1
Rat Terrier Mix,1
Shetland Sheepdog,1
Miniature Schnauzer Mix,1
Pug,1
Rat Terrier Mix,1
American Pit Bull Terrier Mix,1
Dachshund Mix,1
Pug/Chihuahua Shorthair,1
Beagle Mix,1
Shih Tzu,1
Rottweiler,1
Vizsla,1
Labrador Retriever Mix,1
Australian Shepherd Mix,1
Boxer Mix,1
Pug Mix,1
Miniature Pinscher/Chihuahua Shorthair,1
Shiba Inu Mix,1
Australian Cattle Dog Mix,1
Siberian Husky Mix,1
Beagle Mix,1
Affenpinscher Mix,1
Miniature Pinscher,1
Siberian Husky,1
Yorkshire Terrier Mix,1
Great Pyrenees/Anatol Shepherd,1
Cardigan Welsh Corgi Mix,1
Australian Cattle Dog Mix,1
Beagle Mix,1
Labrador Retriever Mix,1
Plott Hound,1
Labrador Retriever Mix,1
Pug/Pit Bull,1
Border Terrier,1
Siberian Husky Mix,1
Rat Terrier Mix,1
Manchester Terrier Mix,1
Dachshund Mix,1
Bull Terrier Mix,1
Siberian Husky Mix,1
Border Collie Mix,1
Labrador Retriever Mix,1
Basenji Mix,1
Labrador Retriever Mix,1
Rat Terrier/Chihuahua Longhair,1
Yorkshire Terrier/Chihuahua Longhair,1
Border Collie Mix,1
Black Mouth Cur Mix,1
Labrador Retriever Mix,1
Australian Cattle Dog Mix,1
Norwich Terrier Mix,1
Australian Cattle Dog Mix,1
Yorkshire Terrier Mix,1
Labrador Retriever Mix,1
Rottweiler Mix,1
Labrador Retriever Mix,1
Jack Russell Terrier Mix,1
Siberian Husky,1
Jack Russell Terrier Mix,1
Dachshund/Pit Bull,1
Labrador Retriever/Pit Bull,1
Shih Tzu Mix,1
Boxer Mix,1
Australian Cattle Dog Mix,1
Labrador Retriever Mix,1
Manchester Terrier Mix,1
Lhasa Apso/West Highland,1
Cairn Terrier Mix,1
American Pit Bull Terrier,1
Beagle Mix,1
Australian Shepherd Mix,1
Chow Chow Mix,1
Labrador Retriever Mix,1
Labrador Retriever Mix,1
Australian Kelpie Mix,1
Parson Russell Terrier,1
Shiba Inu Mix,1
Bichon Frise Mix,1
Rat Terrier Mix,1
Cardigan Welsh Corgi/Chihuahua Shorthair,1
Australian Shepherd Mix,1
